,artist,title,mood,lyrics,genre
1136,Jack Johnson,Fortunate Fool,relaxed,"[Chorus 1]
She's got it all figured out
She knows what everything's about
And when anybody doubts her
Or sings songs without her
She's just so mmm

[Verse]
She knows the world is just her stage
And so she'll never misbehave
She gives thanks for what they gave her
Man, they practically made her
Into a mmm

[Chorus 2]
She's the one that stumbles when she talks about
The seven foreign films that she's checked out
Such a fortunate fool
She's just too good to be true
She's such a fortunate fool
She's just so mmm

[Chorus 1]
She's got it all figured out
She knows what everything's about
And when anybody doubts her
Or sings songs without her
She's just so mmm
[Chorus 2]
But she's the one that stumbles when she talks about
So maybe we shouldn't talk about
Such a fortunate fool
She's just too good to be true
She's such a fortunate fool
She's just so mmm2EmbedShare URLCopyEmbedCopy",folk/acoustic
1137,Nick Cave and the Bad Seeds,Far From Me,sad,"[Verse 1]
For you dear, I was born
For you I was raised up
For you I've lived and for you I will die
For you I am dying now
You were my mad little lover
In a world where everybody fucks everybody else over

[Chorus]
You who are so far from me
Far from me
So far from me
Way across some cold neurotic sea
Far from me

[Verse 2]
I would talk to you of all matter of things
With a smile you would reply
Then the sun would leave your pretty face
And you'd retreat from the front of your eyes
I keep hearing that you're doing best
I hope your heart beats happy in your infant breast

[Chorus]
You are so far from me
Far from me
Far from me
[Verse 3]
There is no knowledge but I know it
There's nothing to learn from that vacant voice
That sails to me across the line
From the ridiculous to the sublime
It's good to hear you're doing so well
But really can't you find somebody else that you can ring and tell

[Chorus]
Did you ever
Care for me?
Were you ever
There for me?
So far from me

[Verse 4]
You told me you'd stick by me
Through the thick and through the thin
Those were your very words
My fair-weather friend
You were my brave-hearted lover
At the first taste of trouble went running back to mother

[Chorus]
So far from me
Far from me
Suspended in your bleak and fishless sea
Far from me
Far from me2EmbedShare URLCopyEmbedCopy",rock
1138,Kim Carnes,Bette Davis Eyes (Acoustic Version),relaxed,"[Verse 1]
Her hair is Harlow gold
Her lips sweet surprise
Her hands are never cold
She's got Bette Davis eyes

[Verse 2]
She'll turn her music on you
You won't have to think twice
She's pure as New York snow
She got Bette Davis eyes

[Chorus 1]
And she'll tease you
She'll unease you
All the better just to please you
She's precocious and she knows just
What it takes to make a pro blush
She got Greta Garbo stand off sighs
She's got Bette Davis eyes

[Verse 3]
She'll let you take her home
It whets her appetite
She'll lay you on her throne
She got Bette Davis eyes
[Verse 4]
She'll take a tumble on you
Roll you like you were dice
Until you come up blue
She's got Bette Davis eyes

[Chorus 2]
She'll expose you
When she snows you
Off your feet with the crumbs she throws you
She's ferocious and she knows just
What it takes to make a pro blush
All the boys think she's a spy
She's got Bette Davis eyes

[Chorus 1]
And she'll tease you
She'll unease you
All the better just to please you
She's precocious and she knows just
What it takes to make a pro blush
All the boys think she's a spy
She's got Bette Davis eyes

[Outro]
She'll tease you
She'll unease you
Just to please ya
She's got Bette Davis eyes
She'll expose you
When she snows you
She knows ya
She's got Bette Davis eyes10EmbedShare URLCopyEmbedCopy",rock
1139,The Innocence Mission,Small Planes,sad,"I know what you mean
When you want to run to meet the world
Intentions may not carry you far
Small planes are here
But they never leave my room at all
They don't make it through
They don't make it out
I want to be like Sister Veronica
Whose life connects with so many lives
Small planes are here
But they never leave my room at all
They don't make it through
They don't make it out
My words to him
They didn't touch him, not at all
And I never can say what I mean to say
Small planes are here
But they never leave my room at all
They don't make it through
They don't make it out
Twenty-five miles or thousands of miles
When am I going to leave here?
Twenty-five miles or thousands of miles
When am I going to get there?
Twenty-five miles or thousands of miles
Who am I going to help there?
Twenty-five miles or thousands of miles
When am I going to get there?EmbedShare URLCopyEmbedCopy",folk/acoustic
1140,Frank Sinatra,Don't Worry 'Bout Me,relaxed,"Don't worry 'bout me
I'll get along
Forget about me
Be happy, my love

Let's say that our little show is over
And so the story ends
Why not call it a day the sensible way
And still be friends

Look out for yourself
Should always be the rule
Give your heart and your love to whom ever you love
Don't you be a fool

Darlin', why stop to cling to some fading thing
That used to be
If you can't forget
Don't you worry 'bout me

Baby, why should you cling to some fading thing
That used to be
If you can't forget
Don't you worry 'bout meEmbedShare URLCopyEmbedCopy",easy listening
1141,The Pussycat Dolls,Buttons,happy,"[Chorus]
I'm telling you to loosen up my buttons, babe (Uh-huh!)
But you keep fronting, uh
Sayin' what you gon' to do to me (Uh-huh!)
But I ain't seen nothing
I'm telling you to loosen up my buttons, babe (Uh-huh!)
But you keep fronting, uh
Sayin' what you gon' to do to me (Uh-huh!)
But I ain't seen nothing

[Verse 1]
Typical ain't hardly the type I fall for
I like when the physical
Don't leave me asking for more
I'm a sexy mama (Mama)
Who knows just how to get what I wanna (Wanna)
What I wanna do is spring this on ya (On ya)
Back up all of the things that I told ya (Told ya, told ya, told ya)
You been sayin' all the right things all night long
But I can't seem to get you over here to help take this off

[Pre-Chorus]
Baby, can't you see (See)
How these clothes are fitting on me (Me)
And the heat coming from this beat? (Beat)
I'm about to blow, I don't think you know
[Chorus]
I'm telling you to loosen up my buttons, babe (Uh-huh!)
But you keep fronting, uh
Sayin' what you gon' to do to me (Uh-huh!)
But I ain't seen nothing
I'm telling you to loosen up my buttons, babe (Uh-huh!)
But you keep fronting, uh
Sayin' what you gon' to do to me (Uh-huh!)
But I ain't seen nothing

[Verse 2]
You say you're a big boy, but I can't agree
'Cause the love you said you had ain't been put on me
I wonder (Wonder) if I'm just too much for you
Wonder (Wonder) if my kiss don't make you just
Wonder (Wonder), what I got next for you
What you wanna do? (Do)
Take the chance to recognize that this could be yours
I can see just like most guys that your game don't please

[Pre-Chorus]
Baby, can't you see (See)
How these clothes are fitting on me (Me)
And the heat coming from this beat? (Beat)
I'm about to blow, I don't think you know
[Chorus]
I'm telling you to loosen up my buttons, babe (Uh-huh!)
But you keep fronting, uh
Sayin' what you gon' to do to me (Uh-huh!)
But I ain't seen nothing
I'm telling you to loosen up my buttons, babe (Uh-huh!)
But you keep fronting, uh
Sayin' what you gon' to do to me (Uh-huh!)
But I ain't seen nothing

[Bridge]
Come on, baby, loosen up my buttons, babe
Loosen up my buttons, babe
Baby, won't you loosen up my buttons, babe?
Loosen up my buttons, babe
Come on, baby, loosen up my buttons, babe
Loosen up my buttons, babe
Baby, won't you loosen up my buttons, babe?
Loosen up my buttons, babe

[Chorus]
I'm telling you to loosen up my buttons, babe (Uh-huh!)
But you keep fronting, uh
Sayin' what you gon' to do to me (Uh-huh!)
But I ain't seen nothing
I'm telling you to loosen up my buttons, babe (Uh-huh!)
But you keep fronting, uh
Sayin' what you gon' to do to me (Uh-huh!)
But I ain't seen nothing
I'm telling you to loosen up my buttons, babe (Uh-huh!)
But you keep fronting, uh
Sayin' what you gon' to do to me (Uh-huh!)
But I ain't seen nothing
I'm telling you to loosen up my buttons, babe (Uh-huh!)
But you keep fronting, uh
Sayin' what you gon' to do to me (Uh-huh!)
But I ain't seen nothing1EmbedShare URLCopyEmbedCopy",pop
1142,Jay Brannan,Half-Boyfriend,sad,"I don’t know where we’re going
But I know we’ve gone too far, and
I hope it isn’t showing
But I think I love you, and
I can’t believe you’re leaving
Just when I let you in, and
When you had me believing
I could feel again

I could give a million reasons
Why we should not be friends
Our moods change like the seasons
My mood ends your mood begins, and
You’re a tease, you’re a cockblocker
You’re a loud mouth bitch, and a big talker
But that’s okay
You’ll grow up someday

[Chorus:]
You’re the pill I never wanted to take
An anti-misanthrope
Mine was the heart I never thought you would break
My one hope was that I’d survive you

I’ve shown up for you
In ways that boy never would, but
I know you’ll go back to him and
Maybe you should, but
I hope you don’t go backwards
Cuz I’m going on ahead and
One day you’ll wish that you had
Stuck with me instead
[Chorus]

As I wander through Union Square
I remember when you followed me there
You were the stalker I kinda wanted to have
Being your half-boyfriend was only half bad

[Chorus]EmbedShare URLCopyEmbedCopy",folk/acoustic
1143,The Dillinger Escape Plan,The Mullet Burden,angry,"Such worthless crust and crazed
Now cring to slap the wrist, I sense you cracked and weak

The nonexistent won't care
When you fail to wake, I sense you cracked and weak

I wonder if you would
I wonder if you could

Please just a small taste
Of the offer unrefused
Bonded by a muddy crippled story
And now I wonder if you really ever could

I wonder if you could
I wonder if you would

You're no good

Self-sodomize once more
Whore, slut, et fragile and tight
A reckless mangled conscience

With only the imbalance of evils
Wait for guidance, end it all nowEmbedShare URLCopyEmbedCopy",metal
1144,Atari Teenage Riot,Revolution Action,angry,"ACTION!!!!!!!!!
It's time to live and it's time to die!
It's time to live and it's time to die!
It's time to live and it's time to die!
It's time to live: REVOLUTION ACTION!!!!
What we gonna go for?
What we gonna go for?
What we gonna go for? REVOLUTION ACTION!!!!
What we gonna go for? What we gonna go for?
What we gonna go for? REVOLUTION ACTION!!!!
Welcome to step one - I can't wait no longer -
Let's make it happen!!!!!!!!!!!!
Another investigation of our generation!
Sublime information!
The collapse of a century!!!!!
I'm targeted at the Whitehouse
Like a bullet from a gun! Waste my life from scratch...
But at least we will leave a bad taste in your mouth!!!!
Dope - Fly - Fly - don't take it
Take it out too far and I won't fake it!
A blank promise - your words -
Nothing else than another hell ride
We got to!!!!!
REVOLUTION ACTION!!!! What we gonna go for????
REVOLUTION ACTION!!!! What we gonna go for????
REVOLUTION ACTION!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
What we gonna go for???? What we gonna go for????
Revolution!!!!!! Action!!!!!
Revolution - Action - Revolution - Action!!!!!!
We got to....
Are you ready???????
A shoot - a pain - with the knife between my teeth
And then I leave you in cold blood!!!! I'm comin' at ya!!!
I'm comin' at ya!!!!!!!! Carl Crack like a flamin' arrow -
Burning the regime of terror!!!!
With a gun pointing at my head
I realise what I could get instead!!!
What you gonna go for????? What you gonna go for?????
What you gonna go for?????????? REVOLUTION ACTION!!!!!
What you gonna go for?
What you gonna go for? REVOLUTION ACTION!!!!
What you gonna go for? What you gonna go for?
What you gonna go for? REVOLUTION ACTION!!!!
Many people are in power but none of them is one of us -
Press and media any hour - NOW TELL ME:
WHAT'S WRONG WITH US????????????????
In the lion's throat I stand and wanna know!!!!!!!!
Surrounded by me and my gang... your life just blows!!!
BREAK INTO THE CENTER WHERE YOUR HEART GOES!!!!!!!!!
You hold the cigarette like you're trying to understand
But what if the next person near you
IS TAKING THE TRUTH OUT OF YOUR HANDS????????
REVOLUTION ACTION!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
REVOLUTION ACTION!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
What we gonna go for????? ACTION!!!!!!!!!!!!!!!!!!!!!!!
IT AIN'T SELF-DESTRUCTION!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
IT AIN'T SELF-DESTRUCTION!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
REVOLUTION ACTION!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1EmbedShare URLCopyEmbedCopy",metal
1145,Jonathan Coulton,Ikea,happy,"[Verse 1]
Long ago in days of yore
It all began with a god named Thor
There were Vikings and boats
And some plans for a furniture store
It's not a bodega, it's not a mall
And they sell things for apartments smaller than mine
As if there were apartments smaller than mine

[Chorus]
Ikea: Just some oak and some pine and a handful of Norsemen
Ikea: Selling furniture for college kids and divorced men
Everyone has a home
But if you don't have a home you can buy one there

[Verse 2]
So rent a car or take the bus
Lay your cash down and put your trust
In the land where the furniture folds to a much smaller size
Billy the bookcase says hello
And so does a table whose name is Ingo
And the chair is a ladder-back birch but his friends call him Karl

[Chorus]
Ikea: Just some oak and some pine and a handful of Norsemen
Ikea: Selling furniture for college kids and divorced men
Everyone has a home
But if you don't have a home you can buy one there
[Bridge]
Ikea: Plywood, brushed steel
Ikea: Meatballs, tasty
Ikea: Allen wrenches
All of them for free
All of them for me

[Verse 3]
I'm sorry I said Ikea sucks
I just bought a table for 60 bucks
And a chair and a lamp
And a shelf and some candles for you
I was a doubter just like you
Till I saw the American dream come true
In New Jersey, they got a goddamned Swedish parade

[Chorus]
Ikea: Just some oak and some pine and a handful of Norsemen
Ikea: Selling furniture for college kids and divorced men
Everyone has a home
But if you don't have a home you can buy one there1EmbedShare URLCopyEmbedCopy",pop
1146,"Lipps, Inc.",Funkytown,happy,"[Intro]

[Verse]
Gotta make a move to a town that's right for me
Town to keep me movin', keep me groovin' with some energy

[Pre-Chorus]
Well, I talk about it, talk about it
Talk about it, talk about it
Talk about, talk about
Talk about movin'

Gotta move on
Gotta move on
Gotta move on

[Drum Solo]

[Chorus]
A-won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown?

[Instrumental Bridge 1]
[Chorus]
Won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown?

[Instrumental Bridge 2]

[Verse]
Gotta make a move to a town that's right for me
Town to keep me movin', keep me groovin' with some energy

[Pre-Chorus]
Well, I talk about it, talk about it
Talk about it, talk about it
Talk about, talk about
Talk about movin'

Gotta move on
Gotta move on
Gotta move on

[Instrumental Bridge 3]

[Chorus]
A-won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown?
[Instrumental Bridge 4]

[Chorus]
Won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown, yeah?

Won't you take me down to Funkytown?
Won't you take me down to Funkytown?
Won't you take me down to Funkytown?
Won't you take me down to Funkytown?

(Won't you take me to) Funkytown?
(Won't you take me to) Funkytown?
(Won't you take me to) Funkytown?
(Won't you take me to) Funkytown?

Take me, won't you take me?
Take me, won't you take me?
Take me, (won't you take me) won't you take me?
Take me, (won't you take me) won't you take me?

I wanna go (won't you take me) to Funkytown
I wanna go (won't you take me) to Funkytown
I wanna go (won't you take me) to Funkytown
I wanna go (won't you take me) to Funkytown6EmbedShare URLCopyEmbedCopy",r&b
1147,Nick Cave and the Bad Seeds,Hallelujah,sad,"[Verse 1]
On the first day of May I took to the road
I'd been staring out the window most of the morning
I'd watched the rain claw at the glass
And a vicious wind blew hard and fast
I should have taken it as a warning
As a warning
As a warning
As a warning
I'd given my nurse the weekend off
My meals were ill prepared
My typewriter had turned mute as a tomb
And my piano crouched in the corner of my room
With all its teeth bared
All its teeth bared
All its teeth bared
All its teeth bared

[Chorus]
Hallelujah Hallelujah
Hallelujah Hallelujah

[Verse 2]
I left my house without my coat
Something my nurse would not have allowed
And I took the small roads out of town
And I passed a cow and the cow was brown
And my pyjamas clung to me like a shroud
Like a shroud
Like a shroud
Like a shroud
There rose before me a little house
With all hope and dreams kept within
A woman's voice close to my ear
Said, ""Why don't you come in here?""
""You looked soaked to the skin""
Soaked to the skin
Soaked to the skin
Soaked to the skin
[Chorus]
Hallelujah Hallelujah
Hallelujah Hallelujah

[Verse 3]
I turned to the woman and the woman was young
I extended a hearty salutation
But I knew if my nurse had been here
She would never in a thousand years
Permit me to accept that invitation
Invitation
That invitation
That invitation
Now, you might think it wise to risk it all
Throw caution to the reckless wind
But with her hot cocoa and her medication
My nurse had been my one salvation
So I turned back home
I turned back home I turned back home
Singing my song

[Chorus]
Hallelujah
The tears are welling in my eyes again
Hallelujah
I need twenty big buckets to catch them in
Hallelujah
And twenty pretty girls to carry
Them down
Hallelujah
And twenty deep holes to bury them in
Hallelujah
The tears are welling in my eyes again
Hallelujah
I need twenty big buckets to catch them in
Hallelujah
And twenty pretty girls to carry them down
Hallelujah
And twenty deep holes to bury them in6EmbedShare URLCopyEmbedCopy",rock
1148,Nevermore,I Am The Dog,angry,"The dark wave came again last night
I want it all to end; I want the world to end

Every night, the dream is the same
I sit here waiting for the world to end, but it never ends
And everything I used to be has spiraled into insanity
Every night, I sweat and bleed in her name

The dark wave comes, sanity slips away
She screams from the alcove, ""I am the dog!""

She was born in the year of the dog
She never would betray the world I never saw
Blinded eyes that never see, shattered into infinity
Every night, the dream is the same

The dark wave comes, sanity slips away
She screams from the alcove, ""I am the dog!""

Every night, the dream is the same
I suffer, wading through the endless waves of empty disdain
And everything I used to be has spiraled into insanity
Every night, I sweat and bleed in her name

The dark wave comes, sanity slips away
She screams from the alcove
The dark wave comes, sanity slips away
She screams from the alcove, ""I am the dog...!""EmbedShare URLCopyEmbedCopy",metal
1149,The Eames Era,Could Be Anything,happy,"Run along, run a long way to find a one
Find a one who could turn you on
Underneath a cloudless sun

I certainly hope that you are happy
With your new change of company
Surrounded by your enemies

Can't you see if I could be anything
I want to be I would be you see
Can't you see if I could be anything

And if you say everything will want to go your way
I will turn you away as easily as I turned you into me

Run along, run a long way to find a one
Find a one who could turn you on
Underneath a cloudless sun

I certainly hope that you are happy
With your new change of company
Surrounded by your enemies

If you say everything will want to go your way
I will turn you away as easily as I turned you into me
And can't you see if I could be anything
I want to be I would be you see
Can't you see if I could be anything

Oh, oh, there's a lot of things I could say
To make you understand I don't have time to explain

Can't you see if I could be anything
I want to be I would be you see
Can't you see if I could be anything

And if you say everything will want to go your way
I will turn you away as easily as I turned you into me

And can't you see if I could be anything
I want to be I would be you see
If I could beEmbedShare URLCopyEmbedCopy",folk/acoustic
1150,Baccara,"Yes Sir, I Can Boogie",happy,"[Verse 1]
Mister
Your eyes are full of hesitation
Sure makes me wonder
If you know what you're looking for

Baby
I wanna keep my reputation
I'm a sensation
You try me once, you'll beg for more

[Chorus]
Oh, yes sir, I can boogie
But I need a certain song
I can boogie, boogie-woogie
All night long

And yes sir, I can boogie
If you stay, you can't go wrong
I can boogie, boogie-woogie
All night long

[Verse 2]
No sir
I don't feel very much like talking
No, neither walking
You wanna know if I can dance
Yes sir
Already told you in the first verse
And in the chorus
But I will give you one more chance

[Chorus]
Oh, yes sir, I can boogie
But I need a certain song
I can boogie, boogie-woogie
All night long

And yes sir, I can boogie
If you stay, you can't go wrong
I can boogie, boogie-woogie
All night long

Oh, yes sir, I can boogie
But I need a certain song
I can boogie, boogie-woogie
All night long

And yes sir, I can boogie
If you stay, you can't go wrong
I can boogie, boogie-woogie
All night long
Oh, yes sir, I can boogie
But as I need a certain song
I can boogie, boogie-woogie
All night long

[Outro]
And yes sir, I can boogie3EmbedShare URLCopyEmbedCopy",pop
1151,Trading Yesterday,One Day,relaxed,"If I could change the currents of our lives
To make the river flow where it's run dry
To be a prodigal of father time
Then I would see you tonight

If I could find the years that went away
Destroying all the cruelty of fate
I must believe that love could find a way
Tonight

Lonely finds me
One day you will come
But I'll wait for love's sake
One day to me, love
If I could see beyond the here and now
If you could hear me calling you somehow
If I could know that love is reaching out
To find you with me tonight

Then hope could make these promises come true
Beyond what I could say, what love can do
With every moment leading me to you tonight

Lonely finds me
One day you will come
But I'll wait for love's sake
One day to me, love
I will stay forever here to wait for your love

If I could change the currents of our lives
To make the river flow where it's run dry
To be a prodigal of father time
Then I would see you tonight

Lonely finds me
One day you will come
But I'll wait for love's sake
One day to me, love

Lonely finds me
One day you will come
But I'll wait for love's sake
One day to me, love
One day to me, love
One day to me, love

I will stay forever here to wait for your loveEmbedShare URLCopyEmbedCopy",folk/acoustic
1152,Judas Priest,Breaking the Law,angry,"[Verse 1]
There I was completely wasting, out of work and down
All inside it's so frustrating as I drift from town to town
Feel as though nobody cares if I live or die
So I might as well begin to put some action in my life

[Chorus]
Breaking the law, breaking the law
Breaking the law, breaking the law
Breaking the law, breaking the law
Breaking the law, breaking the law

[Verse 2]
So much for the golden future, I can't even start
I've had every promise broken, there's anger in my heart
You don't know what it's like, you don't have a clue
If you did you'd find yourselves doing the same thing too

[Chorus]
Breaking the law, breaking the law
Breaking the law, breaking the law
Breaking the law, breaking the law
Breaking the law, breaking the law

[Bridge]
You don't know what it's like
[Instrumental Interlude]

[Chorus]
Breaking the law, breaking the law
Breaking the law, breaking the law
Breaking the law, breaking the law
Breaking the law, breaking the law

[Outro]
Breaking the law, breaking the law
Breaking the law, breaking the law
Breaking the law, breaking the law
Breaking the law, breaking the law8EmbedShare URLCopyEmbedCopy",rock
1153,Godsmack,Straight Out of Line,angry,"[Verse 1]
There's no reason, there's no compromise
Change in seasons, living the high life
I don't know you, so don't freak on me
I can't control you, you're not my destiny

[Chorus]
Straight out of line, I can't find a reason
Why I should justify my ways
Straight out of line, I don't need a reason
You don't need to lie to me

[Verse 2]
I'll confess this: you're my tragedy
I laid you to rest just as fast as you turned on me
Gone forever, banished the memories
This place of pleasure are masked by your misery

[Chorus]
Straight out of line, I can't find a reason
Why I should justify my ways
Straight out of line, I don't need a reason
You don't need to lie to me
Lie to me

[Instrumental Break]
[Guitar Solo]

[Outro Chorus]
Straight out of line, I can't find a reason
Why I should justify my ways
Straight out of line, I don't need a reason
You don't need to, don't need to lie to me
Lie to me
Lie to me
Lie to meEmbedShare URLCopyEmbedCopy",metal
1154,Stevie Wonder,Ngiculela-Es Una Historia-I Am Singing,relaxed,"Ngiculela ikusasg
Ngiyacula ngo thando
Ngicula ngelinyi langa
Uthando luyobusa
Jikelele kulomhlaba wethu
Es una historia de mañana
Es una historia de amor
Es una historia que amor reinará
Por nuestro mundo
Es una historia de mi corazón

There's songs to make you smile
There's songs to make you sad
But with an happy song to sing
It never seems as bad
To me came this melody
So I've tried to put in words how I feel
Tomorrow will be for you and me

I am singing of tomorrow
I am singing of love
I am singing someday love will reign
Throughout this world of ours
I am singing of love from my heart
Let's all sing someday sweet love will reign
Throughout this world of ours
Let's start singing
Of love from our hearts
Let's start singing
Of love from our hearts4EmbedShare URLCopyEmbedCopy",r&b
1155,Matt Wertz,Lonely Tonight,relaxed,"Sixth and Green is the one place in November
When the air is cold and the leaves blow on the ground
And I don't think that I can even remember
Why it was that I came to this town

'Cause I just wanna be lonely tonight
Just me and my maker in this cold moon light
Yeah yeah, oh yeah, alright

This is me on the eve of an ending
It's what i've known is constant for a year
I'm so scared this pain that I will be sending
Sometimes I just wanna run away in fear

'Cause I just wanna be lonely tonight
Just me and my maker in this cold moon light
Yeah yeah oh yeah alright

I haven't heard your voice in two weeks now
Anticipations been wearing me thin
And I just can't help but wonderin baby if somehow
We can tear these pages out and begin again

'Cause I just wanna be lonely tonight
Just me and my maker in this cold moon light
Yeah I just wanna be lonely tonight
With no one around to see this sight
Of me lying here mmm yeah
'Cause this is the hardest thing i've ever done before
I said this is the hardest thing i've ever done before
I said this is the hardest thing i've ever done before
And I don't wanna be lonely
No, I don't wanna be lonely no more
And I won't be lonely tonight
'Cause my makers callin meEmbedShare URLCopyEmbedCopy",pop
1156,Oasis,I'm Outta Time,sad,"[Intro]
La la la la laaa
La la la la laaa
La la la la laaa
La la la la laaa

[Verse 1]
Here's a song
It reminds me of when we were young
Looking back at all the things we've done
You gotta keep on keeping on

Out to sea
Is the only place I honestly
Can get myself some piece of mind
You know it's getting hard to fly

[Chorus]
If I'm to fall
Would you be there to applaud
Or would you hide behind them all
'Cause if I have to go
In my heart you grow
And that's where you belong

[Chorus]
If I'm to fall
Would you be there to applaud
Or would you hide behind them all
'Cause if I have to go
In my heart you grow
And that's where you belong
[Chorus]
If I'm to fall
Would you be there to applaud
Or would you hide behind them all
'Cause if I have to go
In my heart you grow
And that's where you belong

[Bridge]
Guess I'm out of time
I'm out of time
I'm out of time
I'm out of time
I'm out of time

[Outro]
(As Churchill said
It's every Englishman's inalienable right to live where the hell he likes
What's it going to do, vanish?
Is it not going to be there when I get back?)6EmbedShare URLCopyEmbedCopy",folk/acoustic
1157,Silverchair,Trash,angry,"One, two, three, four!

Welcome! Nothing short of anarchy
It's so hard to find out who you wanna be
Welcome! Nothing short of anarchy
It's so hard to find out who you wanna be - oh!

Go!

I couldn't find what you needed - ooh to be a double
A big pill but you know that you need a poison
Open, you need it but I returned the point of acceptance
How brave, your parades never do much

Violence!
Hopeless fight!
Call it straight!

Big black steel cap dealt rejection

Yeah, yeah
Hey, hey, hey, hey
Yay
Ugggh!EmbedShare URLCopyEmbedCopy",metal
1158,Ice-T,O.G. Original Gangster,angry,"[Verse 1]
Ten years ago I used to listen to rappers flow
Talkin' bout the way they rocked the mic at the disco
I liked how that shit was goin' down
Dreamt about ripping the mic with my own sound
So I tried to write rhymes something like them
My boys said, ""That ain't you, Ice! That shit sounds like them.""
So I sat back, thought up a new track
Didn't fantasize, kicked the pure facts
Motherfuckers got scared cause they was unprepared
Who would tell it how it really was? Who dared?
A motherfucker from the West Coast, L.A
South Central, fool, where the Crips and the Bloods play
When I wrote about parties, it didn't fit
""6 N' the Mornin,"" that was the real shit

[Hook]
O.G. Original Gangster

[Verse 2]
When I wrote about parties, someone always died
When I tried to write happy, yo, I knew I lied
'Cause, I lived a life of crime Why play ya blind?
A simple look and anyone with two cents would know I'm
A hardcore player from the streets
Rapping bout hardcore topics over hardcore drum beats
A little different than the average though
Jet you through the fast lane, drop ya on death row
Cause anybody who's been there knows that
Life ain't so lovely on the blood-soaked fast track
That invincible shit don't work
Throw ya in a joint, you'll be coming out feet first
So I blast the mic with my style
Sometimes I'm ill and other times buckwild
But the science is always there
I'd be a true sucker if I acted like I didn't care
I rap for brothers just like myself
Dazed by the game in a quest for extreme wealth
But I kick it to you hard and real
One wrong move, and your cap's peeled
I ain't no super hero, I ain't no Marvel comic
But when it comes to game I'm atomic
At dropping it straight, point blank and untwisted
No imagination needed, cause I lived it
This ain't no fucking joke, this shit is real to me
I'm Ice-T, O.G
[Hook}

[Verse 3]
Two weeks ago I was out at the disco
Two brothers stepped up to me and said, ""Hey yo, Ice
We don't think you're down. What set ya claiming?""
E drew the Glock, yo my set's aiming!
Dumb motherfucker, try to roll on me, please!
I'm protected by a thousand emcees
And hoodlums and hustlers and bangers with jheri curls
We won't even count the girls
Cause they got my back and I got theirs too
Fight for the streets when I'm on Oprah or Donahue
They try to sweat a nigga but they just didn't figure
That my wit's as quick as a hair trigger
""He's not your everyday-type prankster.""
I'm Ice-T, the original gangster

[Hook]

[Verse 4]
So step to me if you think that you're ready to
Got on your bullet proof? Well mine's going right thru
This ain't no game to me, it's hollow fame to me
Without respect from streets, so I don't claim be
The hardest motherfucker on earth
Catch me slipping, I can't even get worked
But I don't slip that often, there's a coffin
Waiting for the brother who comes off soft when
The real fucking shit goes down, take a look around
All them pussies can be found
They talk a mean fight but fight like hoes
I'm from South Central, fool, where everything goes
Snatch you out your car so fast you'll get whiplash
Numbers on your rooftop for when the copters pass
Gangbangers don't carry no switchblades
Every kid's got a Tec 9 or a hand grenade
Thirty-seven killed last week in a crack war
Hostages tied up and shot in the liquor store
Nobody gives a fuck
""The children have to go to school!"" Well, moms, good luck!
Cause the shit's fucked up bad I use my pad and pen
And my lyrics break out mad
I try to write about fun and the good times
But the pen yanks away and explodes and destroys the rhyme
Maybe it's just cause of where I'm from
L.A. (*bang!*) that was a shotgun!
[Hook]4EmbedShare URLCopyEmbedCopy",hip hop
1159,Yanni,Nostalgia,relaxed,Instrumental,new age
1160,D'Angelo,Africa,relaxed,"[Verse 1]
Africa is my descent
And here I am far from home
I dwell within a land that's meant
Meant for many men not my tone

[Verse 2]
The blood of God is my defence
Let it drip down to my seed
Showers to your innocence
To protect you for all eternity
And with this wood I beat this drum
And we won't see defeat
From kings and queens becomes a prince
Knowledge and wisdom is understanding what we need

[Bridge]
And this game of love
Ever since the day you came
My whole world began to change
I knew then to dedicate my life
For your own
And this game of love
Everyday I see you grow
And remember what you already know
I receive, I receive the love
That radiates from your glow
[Verse 3]
From which you came was love
And that's how it all should be
You and my soul are one
Through all the time and history

[Outro]
And I thank you, thank you5EmbedShare URLCopyEmbedCopy",r&b
